事件,触发条件,时间,影响,备注
油价回落,,01		Jen		2009,油价下降,
油价回升,,01		Jen		2010,油价上升,（参照世界原油价格趋势图）
亚洲遭百年不遇大旱,随机,02		Feb		2010,亚洲经济下降,
伦敦奥运会,英国经济高于一定值,07		Jul		2012,英国经济上升，旅游上升,
马航MH370失踪,随机,03		Mar		2014,世界旅游下降，机票价格下降,
乌克兰冲突,,04		Apr		2014,俄罗斯经济下降,
中国APEC峰会,中国经济高于一定值,11		Nov		2014,中国经济上升,
“一带一路”提出,中国经济高于一定值,03		Mar		2015,中国经济上升，旅游上升,
人民币大幅贬值,,08		Aug		2015,中国经济下降，旅游下降,
“萨德”事件，限韩令,美国经济高于一定值,09		Sep		2016,韩国经济下降,
美联航暴力逐客事件,随机,04		Apr		2017,美国旅游下降,
我国可燃冰试采成功,中国经济高于一定值,05		May		2017,中国经济上升,
九寨沟地震,,08		Aug		2017,中国旅游下降,
5G标准发布,世界经济高于一定值,06		Jun		2018,世界经济上升，中国尤为明显,
中美贸易战,中国经济高于一定值,07		Jul		2018,世界经济下降,
日本经济产业省与波音公司签署协议文件,,01		Jen		2019,,（这两个我不知道怎么写）
国内停飞航空公司全部正式索赔波音,,05		May		2019,,
澳洲大火,,09		Sep		2019,澳洲经济下降，旅游下降,
沙特阿美油田被炸,随机,09		Sep		2019,油价上升,
塔里木油田发现千亿方级大气田,中国经济高于一定值,10		Oct		2019.,中国经济上升,
新冠疫情,,01		Jen		2020,全球经济下降，旅游下降，油价下降，机票价格下降,
中国全面脱贫,中国经济高于一定值,12		Dec		2020,中国经济上升，旅游上升,
英国脱欧,英国经济高于一定值,01		Jen		2021,欧洲经济下降（英国除外）,
2022北京冬奥会,,02		Feb		2022,中国经济上升，旅游上升,
